costs,locs,techs,cost_om_prod
emission,C1,biomass,0.0
emission,C1,coal,849.0
emission,C1,diesel,600.0
emission,C1,gas,433.0
emission,C1,geothermal,0.0
emission,C1,hydro,0.0
emission,C2,biomass,0.0
emission,C2,coal,849.0
emission,C2,diesel,600.0
emission,C2,gas,433.0
emission,C2,geothermal,0.0
emission,C2,hydro,0.0
emission,C3,biomass,0.0
emission,C3,coal,849.0
emission,C3,diesel,600.0
emission,C3,gas,433.0
emission,C3,geothermal,0.0
emission,C3,hydro,0.0
emission,C4,biomass,0.0
emission,C4,coal,849.0
emission,C4,diesel,600.0
emission,C4,gas,433.0
emission,C4,geothermal,0.0
emission,C4,hydro,0.0
emission,C5,biomass,0.0
emission,C5,coal,849.0
emission,C5,diesel,600.0
emission,C5,gas,433.0
emission,C5,geothermal,0.0
emission,C5,hydro,0.0
emission,E1,biomass,0.0
emission,E1,coal,849.0
emission,E1,diesel,600.0
emission,E1,gas,433.0
emission,E1,geothermal,0.0
emission,E1,hydro,0.0
emission,E2,biomass,0.0
emission,E2,coal,849.0
emission,E2,diesel,600.0
emission,E2,gas,433.0
emission,E2,geothermal,0.0
emission,E2,hydro,0.0
emission,E3,biomass,0.0
emission,E3,coal,849.0
emission,E3,diesel,600.0
emission,E3,gas,433.0
emission,E3,geothermal,0.0
emission,E3,hydro,0.0
emission,E4,biomass,0.0
emission,E4,coal,849.0
emission,E4,diesel,600.0
emission,E4,gas,433.0
emission,E4,geothermal,0.0
emission,E4,hydro,0.0
emission,E5,biomass,0.0
emission,E5,coal,849.0
emission,E5,diesel,600.0
emission,E5,gas,433.0
emission,E5,geothermal,0.0
emission,E5,hydro,0.0
emission,N1,biomass,0.0
emission,N1,coal,849.0
emission,N1,diesel,600.0
emission,N1,gas,433.0
emission,N1,geothermal,0.0
emission,N1,hydro,0.0
emission,N1-PV1,solar,0.0
emission,N1-PV2,solar,0.0
emission,N1-PV3,solar,0.0
emission,N1-PV4,solar,0.0
emission,N1-PV5,solar,0.0
emission,N1-PV6,solar,0.0
emission,N1-PV7,solar,0.0
emission,S1,biomass,0.0
emission,S1,coal,849.0
emission,S1,diesel,600.0
emission,S1,gas,433.0
emission,S1,geothermal,0.0
emission,S1,hydro,0.0
emission,S2,biomass,0.0
emission,S2,coal,849.0
emission,S2,diesel,600.0
emission,S2,gas,433.0
emission,S2,geothermal,0.0
emission,S2,hydro,0.0
emission,S3,biomass,0.0
emission,S3,coal,849.0
emission,S3,diesel,600.0
emission,S3,gas,433.0
emission,S3,geothermal,0.0
emission,S3,hydro,0.0
emission,W1,biomass,0.0
emission,W1,coal,849.0
emission,W1,diesel,600.0
emission,W1,gas,433.0
emission,W1,geothermal,0.0
emission,W1,hydro,0.0
emission,W2,biomass,0.0
emission,W2,coal,849.0
emission,W2,diesel,600.0
emission,W2,gas,433.0
emission,W2,geothermal,0.0
emission,W2,hydro,0.0
emission,W3,biomass,0.0
emission,W3,coal,849.0
emission,W3,diesel,600.0
emission,W3,gas,433.0
emission,W3,geothermal,0.0
emission,W3,hydro,0.0
emission,W3-IMP,hydro_import,0.0
emission,W3-PV1,solar,0.0
emission,W4,biomass,0.0
emission,W4,coal,849.0
emission,W4,diesel,600.0
emission,W4,gas,433.0
emission,W4,geothermal,0.0
emission,W4,hydro,0.0
emission,W4-PV1,solar,0.0
emission,W4-PV2,solar,0.0
emission,W5,biomass,0.0
emission,W5,coal,849.0
emission,W5,diesel,600.0
emission,W5,gas,433.0
emission,W5,geothermal,0.0
emission,W5,hydro,0.0
emission,W6,biomass,0.0
emission,W6,coal,849.0
emission,W6,diesel,600.0
emission,W6,gas,433.0
emission,W6,geothermal,0.0
emission,W6,hydro,0.0
monetary,C1,ac_transmission:C2,4.8
monetary,C2,ac_transmission:C1,4.8
monetary,C2,ac_transmission:C3,4.8
monetary,C3,ac_transmission:C2,4.8
monetary,C3,ac_transmission:C4,4.8
monetary,C4,ac_transmission:C3,4.8
monetary,C4,ac_transmission:S1,4.8
monetary,C5,ac_transmission:S2,4.8
monetary,E1,ac_transmission:E2,4.8
monetary,E1,ac_transmission:S2,4.8
monetary,E2,ac_transmission:E1,4.8
monetary,E2,ac_transmission:E3,4.8
monetary,E3,ac_transmission:E2,4.8
monetary,E3,ac_transmission:E4,4.8
monetary,E4,ac_transmission:E3,4.8
monetary,E4,ac_transmission:E5,4.8
monetary,E5,ac_transmission:E4,4.8
monetary,E5,ac_transmission:N1,4.8
monetary,N1,ac_transmission:E5,4.8
monetary,N1,free_transmission:N1-PV1,0.0
monetary,N1,free_transmission:N1-PV2,0.0
monetary,N1,free_transmission:N1-PV3,0.0
monetary,N1,free_transmission:N1-PV4,0.0
monetary,N1,free_transmission:N1-PV5,0.0
monetary,N1,free_transmission:N1-PV6,0.0
monetary,N1,free_transmission:N1-PV7,0.0
monetary,N1-PV1,free_transmission:N1,0.0
monetary,N1-PV1,solar,0.0
monetary,N1-PV2,free_transmission:N1,0.0
monetary,N1-PV2,solar,0.0
monetary,N1-PV3,free_transmission:N1,0.0
monetary,N1-PV3,solar,0.0
monetary,N1-PV4,free_transmission:N1,0.0
monetary,N1-PV4,solar,0.0
monetary,N1-PV5,free_transmission:N1,0.0
monetary,N1-PV5,solar,0.0
monetary,N1-PV6,free_transmission:N1,0.0
monetary,N1-PV6,solar,0.0
monetary,N1-PV7,free_transmission:N1,0.0
monetary,N1-PV7,solar,0.0
monetary,S1,ac_transmission:C4,4.8
monetary,S1,ac_transmission:S2,4.8
monetary,S1,ac_transmission:S3,4.8
monetary,S2,ac_transmission:C5,4.8
monetary,S2,ac_transmission:E1,4.8
monetary,S2,ac_transmission:S1,4.8
monetary,S3,ac_transmission:S1,4.8
monetary,W1,ac_transmission:W2,4.8
monetary,W1,ac_transmission:W3,4.8
monetary,W2,ac_transmission:W1,4.8
monetary,W2,ac_transmission:W4,4.8
monetary,W2,ac_transmission:W6,4.8
monetary,W3,ac_transmission:W1,4.8
monetary,W3,ac_transmission:W4,4.8
monetary,W3,free_transmission:W3-PV1,0.0
monetary,W3,hvac_transmission:W3-IMP,11.2
monetary,W3-IMP,hvac_transmission:W3,11.2
monetary,W3-PV1,free_transmission:W3,0.0
monetary,W3-PV1,solar,0.0
monetary,W4,ac_transmission:W2,4.8
monetary,W4,ac_transmission:W3,4.8
monetary,W4,ac_transmission:W5,4.8
monetary,W4,free_transmission:W4-PV1,0.0
monetary,W4,free_transmission:W4-PV2,0.0
monetary,W4-PV1,free_transmission:W4,0.0
monetary,W4-PV1,solar,0.0
monetary,W4-PV2,free_transmission:W4,0.0
monetary,W4-PV2,solar,0.0
monetary,W5,ac_transmission:W4,4.8
monetary,W6,ac_transmission:W2,4.8
